ms_zoning,lot_frontage,street,lot_shape,lot_contour,utilities,lot_config,lot_slope,neighborhood,condition_1,condition_2,building_type,house_style,overall_quality,overall_condition,year_built,roof_style,roof_material,exterior_1,exterior_2,masonry_type,masonry_area,external_quality,external_condition,foundation,basement_quality,basement_condition,basement_exposure,basement_fin_type_1,basement_fin_type_2,heating,heating_quality,central_air,electrical,bedroom_above_ground,kitchen_above_ground,kitchen_quality,total_rooms_above_ground,functional,fireplace_quality,garage_type,garage_fin,garage_cars,garage_quality,garage_condition,paved_drive,month_sold,year_sold,sale_type,sale_condition,sale_price,has_2nd_floor_sf,total_sf,has_basement_sf,total_bath,has_open_porch,has_fireplace,has_wood_deck,log_sale_price,log_lot_area
Res,80.0,1,1,1,AllPub,Corner,1,SawyerW,N,Norm,1F,1,7,6,2007,G,CompShg,VinylSd,VinylSd,N,0.0,Gd,TA,PConc,G,TA,No,Unf,Unf,GasA,Ex,1,SBrkr,3,1,Gd,6,1,None,D,RFn,2,A,TA,Y,4,2009,W,N,159000,0,2436.0,1,1.5,1,0,0,11.976659481202368,9.170039075202657
Res,90.0,1,0,1,AllPub,CulDSac,1,SawyerW,N,Norm,1F,1,7,7,1990,H,CompShg,HdBoard,HdBoard,B,234.0,Gd,TA,CBlock,G,TA,Mn,ALQ,BLQ,GasA,Gd,1,SBrkr,3,1,Gd,7,1,TA,A,RFn,3+,A,TA,Y,6,2009,W,N,271900,0,4354.0,1,2.0,1,1,1,12.513189630620563,9.594513744616725
Res,60.0,1,0,1,NoSeWa,CulDSac,1,Timber,N,Norm,1F,S,6,6,1958,G,CompShg,HdBoard,HdBoard,B,541.0,TA,TA,CBlock,A,TA,No,GLQ,Rec,GasA,Gd,1,FuseA,3,1,Gd,7,1,Gd,O,RFn,2,A,TA,Y,1,2009,COD,Other,137500,0,2163.0,1,1.5,1,1,0,11.831379196088763,9.573245865665552
Res,48.0,1,1,1,AllPub,Inside,1,NridgHt,N,Norm,T,1,9-10,5,2008,H,CompShg,VinylSd,VinylSd,B,500.0,Ex,TA,PConc,E,TA,No,Unf,Unf,GasA,Ex,1,SBrkr,2,1,Ex,6,1,Gd,A,RFn,2,A,TA,Y,4,2009,W,N,248500,0,2907.0,1,2.0,1,1,1,12.423198124518821,8.775240458738327
Res,61.0,1,0,1,AllPub,Inside,1,Gilbert,R,Norm,1F,S,7,5,2004,G,CompShg,VinylSd,VinylSd,N,0.0,Gd,TA,PConc,G,TA,Mn,GLQ,Rec,GasA,Ex,1,SBrkr,3,1,Gd,7,1,None,B,Fin,2,A,TA,Y,5,2009,W,N,167000,1,1758.0,1,2.5,0,0,0,12.025749091398891,9.1833801903934
Res,70.0,1,1,1,AllPub,Inside,1,NAmes,N,Norm,1F,1,5,6,1958,H,CompShg,BrkFace,BrkFace,N,0.0,TA,TA,CBlock,A,TA,No,Rec,Unf,GasA,TA,1,SBrkr,3,1,Ta,6,1,TA,A,RFn,1,A,TA,Y,3,2007,W,N,140000,0,2340.0,1,1.5,0,1,0,11.84939770159144,8.897682313454224
Res,71.0,1,1,1,AllPub,Inside,1,NAmes,N,Norm,1F,1,5,6,1958,H,CompShg,BrkFace,BrkFace,N,0.0,TA,TA,CBlock,A,TA,No,Unf,Unf,GasA,Gd,1,SBrkr,3,1,Ta,6,1,None,A,RFn,1,A,TA,Y,3,2009,W,N,128000,0,2082.0,1,1.0,0,0,0,11.759785542901755,8.902455592206882
Res,60.0,1,1,1,AllPub,Inside,1,Mitchel,N,Norm,1F,2,7,5,1996,G,CompShg,VinylSd,VinylSd,N,0.0,TA,TA,PConc,G,TA,Mn,Unf,Unf,GasA,Ex,1,SBrkr,3,1,Gd,8,1,TA,A,Unf,3+,A,TA,Y,9,2008,W,N,213000,1,2730.0,1,2.5,1,1,1,12.269047444691562,9.3101857069459
Res,65.0,1,1,1,AllPub,Inside,1,NAmes,N,Norm,1F,1,5,5,1967,G,CompShg,HdBoard,HdBoard,B,60.0,TA,TA,CBlock,A,TA,No,BLQ,Unf,GasA,TA,1,SBrkr,3,1,Ta,5,1,None,A,RFn,1,A,TA,Y,7,2009,W,N,100000,0,1784.0,1,1.0,0,0,0,11.512925464970229,8.874867635688053
Res,60.0,1,0,1,AllPub,FR2,1,NWAmes,N,Norm,1F,2,6,5,1976,G,CompShg,HdBoard,HdBoard,B,120.0,TA,TA,PConc,G,TA,Mn,GLQ,Unf,GasA,TA,1,SBrkr,3,1,Ta,6,1,TA,A,Fin,2,A,TA,Y,7,2006,W,N,190000,1,2370.0,1,3.5+,1,1,1,12.154779351142624,9.84161214881804
Res,60.0,1,0,1,AllPub,CulDSac,1,SawyerW,N,Norm,1F,2,7,5,1993,G,CompShg,VinylSd,VinylSd,N,0.0,Gd,TA,PConc,G,TA,No,GLQ,Unf,GasA,Ex,1,SBrkr,4,1,Gd,9+,1,TA,A,RFn,2,A,TA,Y,12,2008,W,N,225000,1,3012.0,1,2.5,1,1,1,12.323855681186558,9.55895290182487
Res,21.0,1,1,1,AllPub,Inside,1,MeadowV,N,Norm,T,S,0-4,6,1973,G,CompShg,CemntBd,CmentBd,N,0.0,TA,TA,CBlock,G,TA,Gd,GLQ,Unf,GasA,TA,1,SBrkr,1,1,Ta,0-4,1,Po,B,RFn,1,A,TA,Y,7,2008,W,N,94900,1,1450.0,1,2.0,1,1,0,11.460578984598019,7.3752557780097545
Res,80.0,1,1,1,AllPub,Inside,1,CollgCr,N,Norm,1F,2,7,5,2001,G,CompShg,VinylSd,VinylSd,B,172.0,Gd,TA,PConc,G,TA,No,GLQ,Unf,GasA,Ex,1,SBrkr,3,1,Gd,7,1,TA,A,RFn,2,A,TA,Y,5,2008,W,N,231500,1,2755.0,1,2.5,1,1,0,12.352335152508426,9.428270356237505
Res,104.0,1,1,1,AllPub,Inside,1,NWAmes,N,Norm,1F,1,6,5,1976,G,CompShg,Plywood,Plywood,B,160.0,TA,TA,CBlock,G,TA,No,ALQ,Unf,GasA,TA,1,SBrkr,3,1,Ta,7,1,TA,A,Fin,2,A,TA,Y,5,2008,COD,Other,180000,0,2716.0,1,2.5,0,1,0,12.100712129872347,9.337941716569905
Res,113.0,1,0,0,AllPub,Corner,1,Timber,N,Norm,1F,1,9-10,5,2008,G,CompShg,CemntBd,CmentBd,S,246.0,Ex,TA,CBlock,E,TA,Gd,GLQ,Unf,GasA,Ex,1,SBrkr,3,1,Ex,9+,1,Ex,A,Fin,3+,A,TA,Y,7,2009,W,N,410000,0,4226.0,1,3.0,1,1,1,12.92391243868049,9.505841793480096
Res,34.0,1,0,1,AllPub,Inside,1,NridgHt,N,Norm,T,1,6,5,2005,G,CompShg,VinylSd,VinylSd,S,135.0,Gd,TA,PConc,G,TA,Av,GLQ,Unf,GasA,Ex,1,SBrkr,1,1,Gd,5,1,Gd,A,RFn,2,A,TA,Y,3,2009,W,N,184500,0,2612.0,1,3.0,1,1,1,12.125404742462718,8.541300266759471
Res,55.0,1,1,1,AllPub,Inside,1,NAmes,N,Norm,1F,S,5,7,1956,G,CompShg,VinylSd,VinylSd,N,0.0,TA,TA,CBlock,G,TA,No,BLQ,Unf,GasA,Ex,1,FuseA,3,1,Ta,6,0,None,D,Unf,2,A,TA,Y,9,2006,W,N,127000,0,1446.0,1,1.0,0,0,0,11.751942365440728,8.948975607841776
Res,60.0,1,1,1,AllPub,Inside,1,OldTown,N,Norm,1F,1,5,6,1920,H,CompShg,Stucco,Stucco,N,0.0,TA,TA,BrkTil,A,TA,No,Rec,Unf,GasA,Ex,1,SBrkr,2,1,Ta,5,1,Gd,D,Unf,2,A,TA,Y,6,2006,W,N,120000,0,2250.0,1,2.0,0,1,1,11.695247021764184,9.287301413112312
Res,78.0,1,1,1,AllPub,Inside,1,NWAmes,R,Norm,1F,2,6,6,1968,G,CompShg,MetalSd,MetalSd,N,0.0,TA,TA,CBlock,A,TA,No,Rec,Unf,GasA,Ex,1,SBrkr,4,1,Ta,8,1,None,A,Unf,2,A,TA,Y,5,2009,W,N,154000,1,2283.0,1,1.5,0,0,0,11.944707881395766,9.367344120785848
Res,80.0,1,1,1,AllPub,Inside,1,NAmes,F,Norm,1F,S,6,7,1963,G,CompShg,MetalSd,MetalSd,B,156.0,TA,Gd,PConc,A,TA,Gd,GLQ,Unf,GasA,Ex,1,SBrkr,3,1,Gd,6,1,None,A,RFn,2,A,TA,Y,5,2010,W,Other,137500,0,1990.0,1,2.0,0,0,1,11.831379196088763,9.082507000466299
Res,60.0,1,1,1,AllPub,Inside,1,OldTown,N,Norm,1F,2,0-4,2,1900,G,CompShg,AsbShng,Stucco,N,0.0,TA,TA,BrkTil,A,Fa,No,Unf,Unf,GasW,Fa,0,SBrkr,4,2,Ta,8,0,None,O,Unf,3+,O,Fa,N,5,2006,W,N,87000,1,2869.0,1,3.0,0,0,0,11.37366339763672,9.169518377455928
Res,68.0,1,0,1,AllPub,Inside,0,Mitchel,N,Norm,1F,1,5,5,1969,G,CompShg,HdBoard,HdBoard,N,0.0,TA,TA,CBlock,A,TA,Av,BLQ,Unf,GasA,TA,1,SBrkr,5,1,Ta,8,1,None,A,Fin,1,A,TA,Y,4,2010,W,N,161000,1,2343.0,1,2.0,0,0,1,11.9891596439666,9.263312256742289
Res,60.0,1,0,1,AllPub,Inside,1,BrkSide,F,RRNn,1F,1,0-4,6,1927,G,CompShg,MetalSd,MetalSd,N,0.0,TA,TA,BrkTil,A,TA,No,Unf,Unf,GasA,Fa,0,SBrkr,1,1,Ta,0-4,1,None,D,Unf,1,O,TA,Y,5,2008,W,N,68500,0,1040.0,1,1.0,0,0,1,11.134589024250317,8.752107198329362
Res,113.0,1,1,1,AllPub,Inside,1,NAmes,N,Norm,1F,2,5,4,1935,G,CompShg,Wd Sdng,MetalSd,N,0.0,TA,TA,BrkTil,A,Fa,No,Unf,Unf,GasA,Gd,1,SBrkr,4,1,Gd,9+,0,None,B,Unf,3+,A,TA,Y,11,2007,W,Other,301600,1,3752.0,1,3.5+,1,0,0,12.616856915115939,9.965569934832672
Res,39.0,1,0,1,AllPub,CulDSac,1,Sawyer,R,Norm,1F,1,6,6,1974,H,CompShg,Plywood,Plywood,B,250.0,TA,Gd,CBlock,A,TA,Gd,BLQ,GLQ,GasA,Ex,1,SBrkr,3,1,Ta,7,1,Fa,A,Fin,2,A,TA,Y,4,2010,W,Other,169000,0,2702.0,1,3.0,0,1,1,12.037653993905211,9.642771928314161
